decoded_french,labels,decoded_hyp_list
Un chien brun traverse l'eau peu profonde.,2,Un chien repose sur la couche dans le salon.
Une femme tient un garçon dans une piscine.,2,Un garçon traverse une piscine gelée avec une femme.
Plusieurs enfants s'engagent tous dans l'accise,1,Quelques enfants se développent pour un événement sportif.
Deux hommes portant des chemises noires jouant des guitares,1,Deux hommes jouent des guitares et pensent qu'ils sont
Une femme porte un enfant dans son bras et tient la main d,0,"pied à pied à pied à l'édifice,"
Un homme à peinture de visage qui ressemble à une zombie.,0,Un homme porte un maquillage pour ressembler à une zombie.
Un homme saute avec sa vélo près d'un mur de br,0,Il y a un homme qui saute avec son vélo.
"Une petite enfant, manquant ses dents avant, portant un chalutier",2,Une petite enfant ne fabriquant pas de produits artisanaux
"Une vieille femme d'un magasin de meubles, un petit chien regarde à",2,Le crabe mange une pizza
Une jeune femme dans un ski de denim réveillant devant un garage.,0,La femme porte une jupe.
"Une très belle capture d'un jeu de soccer entre deux hommes, l'homme",1,Les épreuves de soccer olympique en Belgique.
Un patineur faisant un truc sur une traîne.,2,Le skateboarder dorme sur la couche.
Un homme en costume rouge saute son vélo de motocross en descent,0,l’homme saute sa motocrosse sur une colline
Une femme dans un lot vacant en amont en amont.,1,Une femme a l'insigne sur une statue.
Les gens en foule derrière une porte en métal jaune.,0,Les gens sont enfermés dans une foule
"Vendeurs d'un marché extérieur asiatique, vendant des champignon",0,Il y a des vendeurs à l'extérieur qui vendent des champ
Il y a un homme qui regarde latéralement vers une rue h,2,Il y a un homme dont la tête est enfoncée
Voici un bébé criant qui est tenu par sa grand-mère.,1,Le bébé souffre de faim
Quatre travailleurs de la construction masculins en vestes oranges travaillent.,1,Les travailleurs portent des jeans.
Une fille saute au-dessus de trois autres à l'arrière,2,deux garçons jouent des cartes
Un homme en chemise noire gardant des morceaux de viande dans,0,Un homme montre la viande qu'il va cuire.
Un homme se tient sur une échelle peint des briques,0,Un homme tient une brouillarde pendant l'échelon.
Les gens marchent le long d'un sentier le long d'un lac,1,Les gens peuvent nager dans le lac.
Un groupe de musiciens s'aperçoit dans la rue pour des dons,1,Un groupe de joueurs d'harmonies s'avèrent en scène dans
Femme en chemise rouge et jupe de tennis blanche retournant,0,Les gens apprécient le tennis.
d’un homme en chemise grise et d’,1,Un homme tient un hammer à l'emplacement.
"Un groupe de personnes, certains occupant des parapluies, s'en",1,Une foule est enfoncée à l'extérieur dans la pluie
Un joueur de tennis portant une chemise blanche et des pantalons noirs,2,Un joueur de soccer se prépare pour le jeu
Deux pompiers s'en tiennent sur une rue devant un immeuble urbain.,0,Deux pompiers sont à l'extérieur.
Un groupe de jeunes enfants portant des sacs à dos se rassemble e,2,l’aveugle
Un jeune couple aime la bière et la conversation à une table,1,Un couple est en date.
Un jeune homme s'apprête à skater sur un mur de,2,l’adolescent a été blessé
Deux hommes assient dans la salle blanche et jouent en guitare,0,Les hommes jouent ensemble des guitares.
Un homme laver les fenêtres est suspendu à l'extérieur d,2,Un plombier fixe le puits.
Un homme en chemise bleue portant un oiseau dans une,2,Une femme en chemise bleue portant un oiseau dans une cage
Un mannequin mâle en robe à l'intention,2,Le mannequin est habillement policier.
Un jeune homme à couvercle et à couvercle,1,l’homme porte un manteau noir et une calotte noire.
Une famille visite une chèvre au zoo à petting.,1,La famille visite le zoo intérieur de petting.
La femme et les enfants se trouvent à côté d'une statue,2,Une femme et ses enfants s'envolent à partir d'
Un rapprochement du visage d'un chien blanc pendant qu'il tient,2,Un chien brun mâchera des aliments.
Trois filles prient.,0,Les trois jeunes filles prient.
Un groupe de gens mangent des noyaux.,1,Plusieurs étudiants ont des nouilles dans une cafétéria collégiale.
Un jeune garçon reçoit sa décote par un homme portant une,1,Le châssis noir est le jeune barbeur de garçons.
Un homme en manteau noir et en chemise bleue,1,L'homme tient son IPhone.
Un homme en chapeau vert marche par un mur de béton.,0,Un homme à chapeau marche par un mur.
Deux femmes s’envolent sur des escaliers et s’,2,Il n'y avait pas de rails sur les escaliers.
Un homme en shorts dejean et une chemise blanche regarde,1,Un homme qui cherche une nouvelle ceinture
Un homme en camouflage et en courtes v,0,L'homme est à l'extérieur.
Enfants en uniforme jouant au soccer,2,Les enfants jouent au soccer à la Coupe du monde.
Un homme escalade une roche avec une corde en bas,0,Un homme monte une corde à l'aide de boucles
Une personne qui regarde la réflexion de la lune.,1,Une personne graisse regardant la réflexion de la lune.
Un pompier pulvérise l'eau sur un gigantesque pi,0,Un pompier émet un feu encore incendié.
Une demi-douzaine de travailleurs de la construction se trouvent à,2,Les travailleurs de la construction ne nagent pas à la plage
Deux hommes jouent sur scène des guitares.,2,Les deux hommes s'effondraient sur scène leurs guitares.
Le soleil se rassure alors qu'un homme et une femme,1,"l’heure actuelle, les gens parlent en regardant le coucher"
"Une femme à cheveux rouges portant bleu, en gardant des pompo",1,La femme est caucasienne.
Deux femmes jouant du hockey sur glace en uniformes et en,0,Les femmes sont sur la glace.
"Un ordinateur portable Mac, ouvert, au-dessus d'un chaise bleue dans",2,Un groupe de ordinateurs portables se trouve dans un cercle autour d’
Un mouton au plancher d'un bâtiment industriel.,1,Un mouton est utilisé dans une campagne publicitaire.
Un chien roule sur un matelas placé sur un porche et é,0,Il y a un chien sur le porche.
"Un homme en courtes bleues, tatoué sur son",0,Un homme jogt dans la rue.
Un couple danse dans un concours portant des vêtements roses.,0,Un couple porte rose
Un Noir en donnant une femme de l'argent pour un papier.,2,Un Noir offre à la femme une boisson.
Un homme en veste orange se tient derrière un seau rouge.,2,Un homme assis sur un banc.
Le chien porte une capte rouge de baseball et sa bouche est,0,Le chien porte un cap de baseball et sa bouche est largement ouverte
Un pompier américain marche à côté de son camion.,0,Un camion-feux est stationné dans la rue.
Une fille en somme rouge a été enfouie,1,l’enfant en chemise colorée suit en jouant les
Un homme qui s'est en boue dans les montagnes e,0,l’homme est à l’extérieur
Un garçon ayant une coupe et des lunettes d'équipage donne,2,Juste eau.
Cinq personnes prenant part à une discussion sur une scène.,2,Les gens sont à la plage.
Une personne âgée porte une calotte d'indication et une veste,1,Un grand-parent s'asseoira à l'extérieur pour attendre
"Un jeune enfant se trouve dans la rue d'un quartier érodé, alors",0,L'enfant se tient dans la rue
Une femme qui utilise une housse près de ses cultures sur une ferme.,2,une femme cuisine quelque chose à l'intérieur de la maison
Enfant en plongée dans l'herbe et port,1,Les lunettes bleues de nage de l'enfant sont légèrement en
Deux personnes et un chien sont en neige.,0,Deux personnes ont un chien.
Deux femmes d'un bureau discutent d'une chose devant un iMac,1,Deux collègues discutent d'un projet de travail.
Une grande femme africaine porte une chemise verte assise sur un banc,0,d'une femme en banc
Deux enfants ayant des ballons et une femme se trouvent sur un,1,Une mère et ses deux enfants avec des ballons vient tout juste de
Deux enfants se trouvent sur une colline de sable.,1,Deux enfants se fléchissent avec soin dans une duine de
une jeune fille qui pratique la gymnastique sur la rive d'une plage,2,Deux filles s'assistant sur un panneau indiquant que la plage est
L'homme en costume clown et chapeau en marche à vélo,2,Le clown est un étranger.
Homme en combinaison de neige orange et lunettes de ski sur une colline,1,L'homme a chuté en s'envolant sur la coll
Manteau noir en veste de cuir noir,1,L'homme a une motocycle.
Trois danseurs portant des cendres rouges s'exécutent sur,1,Trois danseurs masculins jouent sur scène.
Une jeune fille noire sort de la salle de bains enveloppée,1,Une jeune fille noire sort de la salle de bain après une douche chaude
Un homme en casque de vélo aide un enfant en casque de,1,Un homme aide l'enfant de son voisin avec son casque de
Quatre personnes d'âge moyen préparent un repas dans une cuisine.,0,Quatre personnes prennent un repas dans la cuisine
Une main tient des éclaircisseurs.,1,Les éclaircisseurs sont noirs.
Deux joueurs de hockey tentent d'obtenir le contrôle de la puck à mesure que,2,Les joueurs jouent le baseball.
Il appelle sa femme pour dire qu'il arrivera tard.,2,Un homme kisse sa femme.
Un petit garçon lise en regardant son chien.,0,Un garçon lise.
Une grande vague s'écrase sur une plage où une femme passe.,0,Une femme marche le long de la plage tandis qu'une grande vague s
Un groupe d’employés de l’événement se déplace à deux,1,Le personnel de l'événement se prépare à un grand concert.
L'avion s'enfonce à la fumée et,0,Un avion à réparation.
"Femme d'âge moyen, assise sur la plage, tenue d",2,La femme fait une marche.
une femme regarde un microscope assis à un bureau.,1,Une blonde regarde les échantillons de sang.
Une fille en rose est tirée par un homme en escalier,2,L'homme et la fille en rose se trouvent près du lac
Une petite fille s'assimile au dessus d'une grosse ch,2,Une fille saute sur un arc-en-ciel.
Un joueur de baseball pique ou tente de prendre le baseball pendant un jeu de baseball,1,Le premier homme de base a l'habitude de prendre la balle.
Une femme de 90 ans ébranle les chandelles de 9',1,Une femme âgée souffle les bougies sur son gâteau d'anniversaire à trois
Un homme vêtu de noir et une femme en rouge dansant,1,Un couple marié danse ensemble.
Un homme regarde un arbustif.,1,L'homme est fier de l'arbuste qu'il a plant
Un homme conduit un véhicule portant une veste orange vif.,0,Un homme mène.
Un jeune joueur de billard neuf balles a l'intention de,2,Une femme plus âgée joue le houblon.
Deux personnes dans un grand canot entouré d'eau.,0,Il y a des gens qui flottent dans un bateau.
Un participant au soccer tente de frapper un ballon tandis qu'un,1,Un joueur de soccer est sur le point de lancer le ballon.
Une femme asiatique chante dans un établissement.,2,Un homme parle.
Un homme naissant à côté d'une fille sur une plan,1,ils se trouvent dans l'océan
Un homme et une femme sont vus se boucher près d',1,Un homme et une femme sont en train de se mettre en relation
Un homme portant des lunettes de soleil se tient à côté d',1,Une personne portant un masque respiratoire ne veut pas respirer le même air
Le groupe de jeunes se trouvent dans un bain de bulles en s,2,Un adulte se baigne seul.
Deux hommes d'arrière s'assurent d'un cas,2,Deux hommes se trouvent dans une section sans fumer à l'aéroport.
Une femme portant des lunettes de soleil et une chemise noire,2,Une personne en chaise de plage en une journée nuageuse.
Un jeune homme en shorts et en chemise verte tombe,1,L'homme apprend à rouler un vélo.
"Un chien en marche dans le sable, l'herbe en fond",0,Un chien s'enfonce dans le sable alors qu'il y
Les chiens bruns jouent ensemble avec un jouet bleu.,0,Les chiens jouent.
Le rouleau traverse une tournure qui a entraîné,2,Certains gens marchent par le parc.
Deux enfants assient à une table et mangent des aliments.,1,Deux enfants mangent de la pizza à la table.
Les spectateurs regardent un homme boucler la main dans un jet d,1,Les gens regardent un homme.
Une voiture de rallye dérive autour d'un tour et,0,La voiture de rallye se poursuit.
Un groupe de femmes se trouvent autour d'une table et travail,1,Deux hommes et un chien marchent heureusement
Un grand groupe de personnes ont formé une ligne à l'extérieur.,0,Un groupe de personnes se trouvent à l'extérieur.
Deux hommes en sourds oranges marchent en arrière.,1,La rue est le centre-ville
Un homme en argent tient sur un long pôle qui est en,2,Un homme en argent ne se tient pas sur un long p
Un homme se trouve derrière un plateau de petits jouets.,2,Un homme se tient près de grands jouets
Une brunette interviewant un artiste de rue.,0,Un artiste de rue parle à quelqu'un.
Les hommes en arrière s’apprêtent à s’,1,Les hommes tirent des dés sur le coin.
Un homme regarde une statue.,0,Un homme observe une statue.
Une équipe de soccer féminin se mouche ensemble.,0,les filles sont à son jeu de soccer
Petit garçon en fléchette dans une pièce lite et d,1,Le garçon est curieux.
Un groupe d'hommes joue le hockey.,2,Un lion se repose dans la jungle.
Une femme souffle les graines d'un dandelion.,0,La femme a des poumons.
Quatre personnes attendent leur train.,0,Les gens se trouvent près des voies.
Cette cuisine est nouvellement meublée.,1,Il y avait tout juste un remodelage.
Un homme asiatique navigue sur un bateau transportant 2 passagers,2,Les trois hommes blancs se sont rendus à la pique-nique
Un homme en chemise orange et un chapeau blanc floppy,1,Un travailleur d'entrepôt se trouve près d'un manne
Les jeunes femmes se rassemblaient autour d'un feu la nuit.,2,Les femmes éclairent un feu en temps de jour.
"Un homme roule en bas de la rue, deux voitures passant dans la",0,Il y a des voitures dans une rue.
un patineur portant une chemise verte et sautant dans,1,L'homme fait un fléchissement
un garçon portant une chemise rouge en roue et un autre,2,Le garçon est seul à regarder la télévision
Un homme à patin à pieds,0,Un homme sur un patinoire.
L'homme qui se tient sur le faisceau porte un chapeau blanc dur.,2,L'homme portant un chapeau dur assis sur le poutre.
Une femme joue avec des marionnettes à doigt en s'enfonce,2,L'homme s'envole.
Trois enfants regardent les amphibiens dans un aquarium en prenant des photos,0,Les enfants mangent des papilles
Une petite fille blonde se tient devant une fontaine d'eau,0,La fille a des cheveux.
Une femme âgée en chemise blanche se tient sur un balcon d',0,La femme est un aîné
Un plongeur écoute l'information sur la sécurité de la p,0,Une personne entend quelque chose.
Un groupe de personnes assises à une table travaillant sur la documentation.,0,Le groupe s'est assis à la table et a travaillé
Un homme a l'habitude de se mettre en vogue sur,2,L'homme naît dans le ruisseau
Un joueur de basket-ball se prépare à tirer un bouchon,1,Un joueur de basket-ball joue en mars Madness.
Les hommes portent des vêtements blancs pour se protéger.,0,Les personnes tenues sont des vêtements protecteurs.
"Un homme, portant un t-shirt blanc et des jeans,",0,Un homme joue de la musique.
Des modèles d'événements se trouvent dans la pluie et tiennent,2,Les modèles d'événement sont à l'intérieur.
Un homme en casque orange sur le bâtiment.,0,Un homme se trouve sur un bâtiment.
Un skateboarder saute de la plate-forme montée d'un,2,Boy en rouleau
Un homme marche sur le trottoir par un panneau.,1,Un homme se rapproche d'un panneau qu'il vient de peindre
Une femme en veste rouge aide un enfant à se servir d',2,The hotel is very close to the city centre.
Un homme qui s'enfonce pour aider une voiture à éviter,1,Un homme tente de sauver un bébé.
Les foules s'étonnent autour d'un,0,De nombreuses personnes se trouvent dans un centre commercial.
Trois travailleurs de la construction en chapeau dur à l'extérieur.,2,Un ingénieur établit quelques plans.
Cinq jeunes hommes à cheveux foncés et à l,2,Les enfants jouent un salon amusant à l'école
"Trois personnes sur l'herbe, une à feuilles d'abat",2,Trois personnes nettoyent une cuisine.
Une femme en enveloppe rouge est assise sur un pont.,1,La femme lise un livre.
Une femme assise sur une plage et tient une boîte,2,Un homme boire une bière à la plage.
Un jeune enfant asiatique qui s'est établi e,1,Un enfant asiatique représentant sa culture pour l'école.
Une femme brunette prend une photo d'un bande sur scène avec son appareil,0,Une femme est à un concert.
Trois personnes reposent sur une montagne neigeuse.,2,Quatre personnes se trouvent sur une montagne neigée.
"Une fille en châssis vert vif, accompagnée",2,Les gens se trouvent dans un magasin surpeuplé.
"L'homme grille des chiens chauds, des bâtons, des poivr",2,L'homme a été empoisonné par les chiens chauds.
Femmes à cheveux gris et à chemise blanche en regardant,2,Les hommes jouent le football
Une foule de gens asiatiques s'assurent d'une,2,10 Africains jouent avec un zébré
Un chien de taille moyenne qui traverse des puddles,0,Un chien en marche.
d’un grand-mère et deux petits-mères en,2,Les deux grandmas prennent une photo avec leur petit-fils.
Un boxer s'enfonce dans son côté concurrent dans le ring de box,1,Une foule de gens regardent le plus important match de boxing au monde.
Un groupe d'hommes qui tentent de prendre quelque chose dans l'air,1,Un groupe d'hommes qui tentent de capturer un papillon
Un anesthésiologiste s'est détendu au travail.,0,Un anesthésiologiste se fatigue au travail.
Une femme se tient derrière un comptoir clair derrière un grand étal,1,Un homme de haut niveau derrière un comptoir
Une jeune fille blonde ayant une chemise rose sur la che,1,Une fille teigne son frère en s'en en
une femme en robe de tennis bleue se préparant à frapper un ball,1,Serena Williams se prépare à s'enfoncer au ballon
Quatre garçons entourent une personne assise dans une chaise et,0,Les garçons s'épaulent sur la personne en peinture rose.
Un groupe de personnes se préparant à rouler,0,Les gens vont rouler.
Trois personnes jouent dans la neige près de l'arrière d',2,Trois personnes se baignent sur la plage.
Deux personnes se trouvent sur les escaliers d'un grand ensemble d,0,Deux personnes se trouvent sur les escaliers.
Un homme en chemise et en veste américaine saut,1,Un homme montre la fierté de son pays
Un groupe de cyclistes s'apprête à pénétre,2,Un groupe de cyclistes qui s'éloignent de la police.
Un homme saute dans l'eau ensoleillée.,2,Un homme marche près de l'eau.
Une fille blonde portant une robe blanche se bat avec une autre fill,0,2 filles ayant un argument
Une femme en chemise grise se tient avec son bras sur s,0,La femme repose son bras.
Les travailleurs de la ville s'occupent d'un motocycl,0,l’aide à la personne
Homme asiatique en chemise et chapeau rouge en discussion,2,Les hommes sont sur les navires de surf
Deux hommes situés sur un toit se préparent à regarder dans une chemin,1,Deux hommes attendent l'ascendance santa
Une femme danseuse danseuse dans une mini-robe noire dans une pose,0,Une femme danseuse danseuse dans une mini-robe noire dans une pose
"Un enfant ayant des chaussures vertes, des shorts rouges et",0,Un enfant se trouve à l'extérieur.
Une femme parle de façon animée à son compagnon à côté d,0,Une femme est à l'extérieur.
Un homme assis sur le bord d'un quai avec un,2,"L'homme est à l'intérieur, boire de la bière"
Un chien humide qui porte un bâton dans sa bouche s,0,Un chien porte un bâton.
homme et femme en costume de halloween en ayant une conversation,2,Deux personnes naissent.
Une petite fille et une fille plus âgée en robe blanche se,2,Les robes sont noires
Un homme en capuchon blanc faisant un tas de patin,1,Un homme s'apprête à skater avec ses amis.
quatre petits chiens en traversant un champ vert avec des fleurs jaunes,0,Quatre petits chiens à l'extérieur.
Un chien joue dans l'eau.,0,Le chien est en eau.
Deux hommes regardant une vieille voiture battue.,2,Les deux hommes ont leurs yeux fermés.
Un homme en chapeau s'approche d'un signe.,2,Un homme quadriplégique regarde un signe.
Un homme en veste se tient derrière l'homme muni,0,L'homme ayant la motocyclette se tient devant l'homme dans
Les filles s'enfoncent à la caméra.,1,Les filles veulent capturer ensemble la meilleure image.
Homme et femme se baignant sur une rue publique.,1,Un couple est en date.
La personne en casque jaune saute un cheval brun au-dessus d',0,Une personne et un cheval sont au-dessus d'une clôture.
Un homme en chemise blanche marchant un vélo.,0,Un homme marche son vélo dans une chemise blanche
Deux chiens se joignent l'un avec l'autre dans les,1,Il y a des chiots qui chassent deux gros chien
Un homme portant une calotte de baseball est en skateboarding.,0,Un patinage à patins en portant un chapeau.
Un bébé dans une tubette bleue qui prend un bain.,0,Le bébé prend un bain.
Un jeune enfant ayant des cheveux curieux sauvages s'asseoir sur,1,Un jeune enfant à cheveux curieux sauvages s'asseoir sur une
Un homme blond et un mohawk dans un t-shirt de,0,Un homme ayant un mohawk a un téléphone cellulaire.
Le pâturage s'éteint au milieu d'une,0,L'eau s'échappe d'un évaporateur.
Les artistes en sourds oranges se trouvent dansés sur scène,1,Les artistes interprètes ou exécutants exécutent un spectacle dans un grand
Un homme effectue un ralentissement en vélo de terre au-dessus du,1,Un homme participe à un concours.
Un cycliste fait un saut sur une rampe couverte de graffiti.,2,Le cycliste s'alimente au petit déjeuner.
Trois personnes dans un groupe de voitures dans ce qui semble être une scène urbaine;,2,"Il y a trois femmes, dont aucune ne porte des tasse"
Une femme dessine une caricature de deux personnes.,1,Une femme dessine une caricature à la promenade.
Un homme pose un pic dans un musée.,2,Un homme utilise la salle de bain dans sa maison
L'homme s'est en face sur la semelle de tournage automat,1,L'homme est fatigué.
une femme à côté d'une table.,2,Une femme est assise à une table
Jeune fille qui marche sur le sable dans une robe bleue portant,2,Une jeune fille dorme au lit.
Une personne qui se trouve à l'extérieur utilise un parapluie dans,1,Quelque chose se pose sur le trottoir.
"l'intérieur de la fosse, il y a une",0,Un chien brun se trouve près d'un chien noir et tan.
Deux jeunes mâles blancs se trouvent à l'extérieur près de nombreuses,2,Un homme naît.
"Deux jeunes filles brunettes, l'une en robe bleue",1,Ils se trouvent dans une danse
Vous avez l'occasion de vous rendre en vélo en hiver,2,Le couple est en colère.
Un musicien et une foule à côté de la scène à,1,Les gens s'assistent à côté d'un ensemble d'
Un chien saute sur un pâle de billes.,0,Le chien saute.
Une femme tirée sur un grand tricycle par plusieurs chiens de traîneau,2,Une femme est tombée du traîneau.
Un jeune homme porte un costume bleu et un manteau gris.,1,Le jeune homme attend froidement un autobus.
Une petite fille joue avec un puzzle en bois.,1,l'épaule en bois est âgée de 80 ans
Un homme en t-shirt blanc et des sceaux den,1,Un homme en casque est en skateboarding.
Deux enfants et un chien noir se jouent dans la neige.,0,Deux enfants jouant dans la neige avec un chien noir.
Un groupe de personnes à l'extérieur d'un bâtiment.,2,Un bébé est sur une table.
Des hommes jouant du volleyball dans le sable.,2,Les hommes naissent dans l'océan.
"Deux hommes, l'un en chemise bleue et en",1,Deux hommes regardent les avions en s'enfonçant
Un homme en courtes bleues évolue dans un bateau,1,Un homme est heureux d'être en bateau.
L'enfant se remet sur les chevaux en gardant ses cheveux,1,Un petit garçon qui s'envole à un cheval noir.
Un interprète se tue de la scène dans une foule de fans,2,Il saute sur la scène.
Un étrange homme joue ses douillets de baguette dans la,1,L'homme joue un guichet funéraire.
Un jeune enfant vêtu de petite caisse rouge.,1,Une fille est prête à faire des tas ou à traiter
Un patineur en piquet en recouvert d',2,Le patineur regarde à l'extérieur de la fenêtre sur un chien qui
Une femme qui marche avec un Sheltie à travers un cours d',1,Une femme marche rapidement
Un homme en chemise blanche et rouge assis sur une couch,2,L'homme se tient à la fenêtre.
Le lac est très peu profond.,0,Il s'agit d'un lac peu profond.
Un rapprochement des mains d'un homme en faisant la,0,Un homme moule la raquette.
Un vieux monsieur assis dans une pièce foncée avec peu de lumière,1,Un vieux homme se cache dans une pièce sombre.
steve jobs siège à côté des portes de bec en chaises rouge,0,Steve Jobs et Bill Gates siègent à côté de l'autre
L'homme lit un journal dans un restaurant extérieur.,2,L'homme lise la Bible dans l'Église.
Un bébé est en train de se remplacer pour le calmer à,0,Un bébé est réconforté à la fin de crier.
Une femme vêtue d'une veste noire reposant sur un,0,Une personne est sur un plateau dans un magasin.
Deux hommes jouent la croisée ou le hockey sur le terrain.,0,deux hommes jouant des sports
Une femme en s'embarrassant d'un homme dans,0,La femme et l'homme se soignent les uns des autres.
Une femme porte une chemise rayée devant un jeune garçon à lunettes.,0,Une femme et un garçon.
Person performing yoga by the ocean.,1,La personne fait de l'exercice à l'extérieur.
Une femme mange une salade dans un stade.,0,Une femme mange une salade dans un stade.
Un couple se mutile et un d'entre eux tient,2,Personne ne porte un signe.
Deux garçons s'en tiennent heureusement à la char.,2,Un garçon tirer une charrette
Un homme âgé ayant une longue barbe grise joue sa fl,1,Un homme plus âgé tente de jouer sa flûte mais
Un homme en chemise blanche retient un radeau en,2,l’homme en vole un avion
Un homme assis devant une grande publicité en acier Calvin Klein avec,2,Un homme se tient devant une annonce d'instruments
Le panneau sur le bétail des crabes au marché indique 12 $,2,Il y a un chat sur le marché.
"Un homme s'envole, en arrière, en",2,l’homme lave son bateau
Une femme dans un cimetière à la recherche d'un objet,0,Une femme à l'arrière-plan ne peut pas s'
"une longue table de conférence dans un bureau, divers professionnels consultent leurs documents",1,Les gens travaillent à un nouveau lancement de produits qui doit être réalisé en 48 heures
Un joueur de tennis blond en action sur un terrain de pelouse.,2,séna williams dorme sur le tribunal
Un joueur de basket-ball a tiré un tir libre.,2,Un joueur de baseball se prépare à voler une base.
Un homme et une femme à une sortie se parlent mutuelle,0,l’homme et la femme parlent
Un homme dorme sur la plage après avoir enlevé son casque.,1,Un homme dorme par son vélo.
Des hommes s'enfonçant devant des camions de déchets verts dans,1,"Dans le stationnement du Dollar familial, des hommes se trouvent devant les camions"
Touriste utilisant les jumelles pour obtenir une meilleure vue sur l',1,Touriste en quête de l'océan Pacifique
Une foule de femmes et d'enfants se mournent,0,Une foule de gens se trouvent autour.
Une fille qui s'est rendue à travers un graffiti sur un mur,1,Une fille triste qui s'est rendue à travers un graffiti sur un
Trois femmes d'âge collégial siègent dans des chaises re,2,Il s'agit d'une femme.
Les garçons en port d'athlétisme exécutent des,0,Les enfants s'entraînent à l'extérieur
et sa jeune fille en savourant une alimentation dans,2,l'enfant joue le baseball
"Un homme dans une suite noire, à l'intérieur d'un",0,Un homme a un saxophone.
Un groupe de motocyclistes mâles se trouvent en dehors d,1,Le groupe de bicyclistes vient de terminer une longue randonnée.
Un homme en équipement d'alpinisme regarde une femme à,1,La femme porte des engins d'escalade.
"Un homme à lunettes de soleil, un chapeau rouge et des",0,"Un homme en lunettes de soleil, en couvercles de pêche"
Il y a un chien qui lira ses ciments.,2,Un chiot dorme.
Les liens d'image sont brisés.,0,Les liens vers les images sont brisés.
L'homme en vêtements blancs s'enfonce à une femme dans,0,Un homme en blanc s'enfonce à une femme.
L'ourset est tan avec un nez brun et un,2,Le chien est rouge.
Un chien brun léger saute sur un obstacle qui a un feu sur chaque,2,le chien est assis
Les gens prennent leurs vêtements à l'extérieur de leurs tentes,2,Les hommes en vêtements de ski se dirigent vers les pentes
Quelqu'un en engins d'astronaute est submer,0,Une personne en équipement d'astronaute est placée sous l
Un homme qui porte des lunettes et un manteau de laboratoire est so,0,Le gentleman n'a pas de vision 20/20.
Deux femmes sont en cuisine et parlent et deux hommes parlent dans,0,Quatre personnes sont en cuisine.
"Un travailleur d'assainissement, transportant un sac e",1,Un nettoyant de rue en nettoyant une rue occupée
Une femme noire et un homme blanc travaillant dans une usine en,0,Il y a des gens de nombreuses races qui travaillent dans les jars
Deux femmes se trouvent dans une rue jouant une guitare bleue e,2,Les femmes jouent des trompettes.
Un homme portant une chemise noire s'envole à,1,Djing porte une chemise noire pour identifier facilement.
"Un petit garçon à cheveux blond, qui porte des vêtements bleus et",2,a femmes dansent
Plusieurs adultes se présentent mutuellement ou examinent les documents distribués,2,Les gens sont agréés pour voir un film.
Deux chiens marchent sur le chemin de la terre.,0,Les animaux se déplacent.
Deux touristes photographient une campagne et des ruines,0,Deux visiteurs prennent des photos du paysage.
"Deux femmes dans une rue en Inde, l'une en plong",2,Les hommes s'alimentent en eau potable.
Un homme dans une suite bleue en bouillant sa jambe,1,Un homme s'enfonce à sa jambe parce qu'
Un chien saute sur une soude d'arbre.,1,Le chien à l'arrière se saute au-dessus de la sou
Un garçon portant une chemise verte emprunte un scooter en amont,1,Un garçon livre des journaux.
Un homme en veste rouge et un enfant en pelle,0,"Il y a deux humains, un adulte, l'autre un"
Une femme noire regarde une fenêtre sur un bâtiment blanc.,1,La femme regarde le bâtiment blanc.
Des pompiers autour d'un bâtiment brûlant la nuit et pul,0,Il y a un feu.
Deux femmes en chemises et chapeaux verts travaillant dans,1,Les femmes aident à s'occuper de leurs clients.
Les protestataires veulent apporter des troupes de la guerre.,2,Les protestataires regardent à la maison la télévision.
Une fille dans un dessus-citerne et un capris,2,Un garçon pond sur les voies ferrées.
Un homme d'âge moyen est sur le point de frapper un ballon de,0,L'homme se trouve près de l'esclavage.
Un homme est élevé sur ses mains sur une plate-forme bleue.,1,L'homme parle de politique.
Un joueur de baseball portant un uniforme blanc et bleu jette un baseball,2,Un joueur de football portant un mini-skirt s'envole avec
Deux jeunes garçons portant des chemises et des couteaux,0,deux garçons en tas s’enfoncent à leur
"En avant-plan, une femme en jeans roses aide un enfant dans un",0,Une femme tente d'aider un enfant à apprendre à skate
Une femme ayant une chemise bleue portant un chapeau porte une jeune fill,0,La femme tient un enfant.
Un remorqueur jaune du Labrador s'envole dans,2,un chien marche sur l'eau
Trois individus jouent un jeu de Monopoly.,2,Trois personnes ont mangé tout l'argent du monopole.
Femmes patineurs sur glace.,2,Une femme s'est en train de patiner à roulettes sur la
Le nouveau-né pond dans le lit légèrement recouvert d',1,Un bébé prend un sommeil.
Travailleurs de construction en chapeaux durs construisant une maison.,1,Les travailleurs construisent une petite maison pour une famille.
Un jeune homme ayant de longs cheveux frisseux retirés dans,1,Un homme pratique pour son spectacle solo sous la mer.
une femme portant une robe pourpre et un sac à dos bleu,1,Femme portant des robes et des lunettes de soleil
un groupe de personnes traversent une rivière,0,Un groupe de gens traversent la rivière.
Les gens regardent comme une voiture bleue s'apprête sur un pont,0,Les gens regardent une voiture.
Deux parents se joignent l'un à l'autre dans la,2,- - - - - - - - -
De nombreuses personnes se trouvent sur un passage à l'arrière.,2,Les gens se trouvent sous un passage supérieur et regardent les voitures.
"Deux hommes près d'un bâtiment, un fume et tire un gan",1,Un homme et son patron parlent du projet.
