decoded_french,labels,decoded_hyp_list
Un enseignant portant une chemise rayée rouge et noire dirig,0,Une classe de gens jouent de la musique en les dirigeant en
Un jeune garçon pousse quelqu'un ayant un pied brisé dans l,1,La personne a été blessée en jouant le basket-ball.
"Un homme portant un chapeau de haut, des pantalons de pajama",1,Un homme chante l'hymne national
Un groupe d'hommes travaillent sur des rails de rue.,0,Le groupe d'hommes fixe les rails.
La femme cédère pour gagner sa vie dans son pays.,2,Une femme cuit des gâteaux.
Deux hommes ayant des musquées fausses sont habillés comme,2,Les jeunes rasés purs portent des vêtements officiels pour promeu
Un chien lisse son nez.,1,Un chien brun lira son nez.
L'homme dans la calotte rouge se roule sur une voie devant le bâtiment blanc,0,L'homme en patins suit la voie devant un édifice.
Un homme se tient à côté d'un bâton,2,Un homme s'éloigne d'un bétail vide.
Deux hommes cuitent ensemble des aliments à l'angle de la rue,2,Les deux hommes s'entraînent dans une course.
Le golfeur célèbre après un coup qu'il a fait.,0,Un athlète vient de faire un coup de pouce avec son club de golf.
Une fille et deux garçons jouent dans l'eau.,2,Les enfants mangent un dîner dans un restaurant.
et d’autres d’entre eux sont en train de se,0,Les gens se rassemblent près d'un stand de bicyclettes.
"Un homme ayant une chemise noire, des shorts et un",2,Deux hommes jouent le piano.
Un homme portant tout blanc utilise une scie à chaîne orange pour couper,0,Une personne blanche coupe un arbre près de sa maison avec une scie.
Une femme qui lise un livre d'histoire.,0,Un livre d'histoire est ouvert.
Un homme en chemise bleue de plaide et de jeans bleu,1,L'homme s'eaut à l'eau après avoir emprunté
Deux marcheurs à force se promenant l'un l'autre dans,2,Deux personnes en voiture
Deux gardiens d'un vêtement de couleur blanche traditionnel et un masque,1,Deux personnes se fléchissent violemment l'une contre
Une rue remplie de gens à pied et à vélo.,2,"Une rue vide, habituellement remplie de gens marchant et en moto"
Un homme sans chemise assis sur une chaise sur le trottoir,2,Un homme est le patinage de glace.
Un groupe qui s'est rendu sur scène pour une foule.,2,Le comédien raconte des plaisanteries.
Un groupe d'hommes travaillent sur des rails de rue.,0,Le groupe d'hommes est un travailleur.
Deux hommes sont sur un bateau et tentent de pêcher pour obtenir de la,2,Personne ne tente de pêcher.
Plusieurs hommes sur scène ayant une discussion.,0,Ils sont des hommes sur scène.
"Une femme qui marche, sourit et tient un sac à achat",1,Les femmes sont retournées d'un centre commercial.
"l'heure où un arbitre regarde, un joueur de baseball de",1,Un homme se trouvent en s'assècheant
Cinq personnes portent des étiquettes de nom sur un collier et pose,2,Les gens sont en métro.
Un travailleur de la construction mâle s'est enfoncé,0,Un travailleur de la construction s'envole dans un cloison.
Un groupe de gens regarde quelque chose.,2,Un groupe de personnes fume des cigarettes en assise sur un banc dans le
Un groupe d'hommes asiatiques pose autour d'une grande table,0,Un groupe d'hommes asiatiques pose pour une photo.
Des objets rouges tombent sur des hommes qui se trouvent derrière un mur,1,Les objets sont des boules.
"Une femme tient son enfant hors de la fenêtre rouge, à côté",-1,L'enfant est une fille.
Trois personnes prennent une photographie d'une jeune femme assise au milieu,1,Les photographes qui tentent d'obtenir la photo parfaite avant que la lumière
Un hydrant à incendie à visage peint sur lui.,2,Il n'y a pas de visage sur l'hydrant à in
L'homme s'est entraîné avec son enfant dans la neige,2,Un homme prend son enfant pour une promenade avec ses chiens.
Un homme en tête noire à long sommet marche,2,Un chat à l'intérieur d'un ledge.
Un homme se trouve dans une allée à côté de deux sacs en plastique,0,Un homme se trouve dans une allée.
Les joueurs de football jouent dans la boue.,2,Les joueurs de football jouent l'échec.
Un accordéon à couteau joue son instrument en regardant dans la,1,Un accordéon s'acquitte d'une petite foule
Un jeune garçon en swing.,0,Un garçon s'envole à l'extérieur.
Un homme joue la corne française et son pianiste joue la mélo,2,Trois chanteurs jouent les bongos sur scène.
un homme sortant d'un camion derrière une clôture,1,Un homme se prépare à aller travailler.
"Une femme qui marche un chien sur une laisse à la plage, en traîn",1,une grande femme marche un chien
Quatre hommes portant des vestons oranges et des chapeaux rouge,-1,Les gants en vestes et chapeaux coupent des arbre
Un artiste de rue avec un chapeau de bowler et des bottes,1,L'homme exécute un acte magique.
Un guy jouant en accordé avec des gens écoutent et,2,Il n'y a qu'une seule personne.
"Trois femmes, deux portant des chemises rouges et une port",0,Trois personnes jouent le basket-ball et s'entiennent
Deux chiens dorés mâchent un coussin blanc sur un patio en bois,2,"Deux chiens d'or sont à l'amiral, et"
Un pont à support vert mène à un trottoir re,0,Le photographe est à l'extérieur.
Un groupe de quatre personnes se trouvent dans l'océan à côté d,1,La famille a une sortie à la plage.
Deux hommes en noir et en arts martiaux en salle de,0,Deux hommes font des arts martiaux.
Trois jeunes hommes regardent un match de tennis sur un grand écran à l,1,Trois jeunes hommes regardent un match de tennis sur un écran à l'
Un homme en polo en mer prend des photos sur un terrain de,2,Un homme noir chante sur scène.
L'homme marche à pieds nus sur la plage à ce qui semble être,1,Il va pluriller bientôt.
Un policier en train.,0,Un homme se tient sur le train.
Une fille s'envole dans l'air.,1,Une fille a gagné l'élan pour s'en sortir.
Une femme en veste bleue claire évolue à vélo.,2,Une femme sans veste gele dans la rue.
Une fille qui saute sur un trottoir près d'un garage,0,La fille est à l'extérieur.
Deux enfants en compétition de sacs se composaient l'un contre,1,Le garçon qui regarde a une jambe brisée.
Un chef parle au microphone d'une salade mixte contenue dans un,2,Un chef saute
L'équipe de course en t-shirt noir a l'honneur de,1,L'équipe s'ensuit.
"Un groupe d'enfants noirs, en boucle autour d",1,Les enfants célèbrent avec le soldat qui vient de les sauver.
La fille en courtes et en veste blanche a un,2,Un homme portant des courtes jaunes et une veste blanche
Un policier se tient en boucle avec ses bras franchis.,0,Un cope se remet en marche.
Une patinoire à figure féminine en costume exécute une routine.,2,Un homme est patinage à roulettes sur une rue.
"Il s'agit d'une image de trois jeunes hommes, vêtus",0,et il y a trois en arrière.
Il y a un homme invisible qui tient un parapluie arc,1,il pâle
La femme portant un manteau rouge donne un discours.,0,La femme est le centre d'attention.
Un enfant en équipement d'hiver se cache dans une grottes,0,Un enfant joue dans la neige.
Une mère prend une photo avec ses deux petites filles.,1,Une mère prend une photo de famille avec son fils et deux filles
Une fille danse dans un vêtement blanc dans un champ.,0,La fille porte du blanc.
Un groupe de trois personnes monte sur une piste d'escaliers en bois,1,Les gens marchent.
Une femme à l'arrière-plan en bronze marche sur une voie pi,1,La femme va à sa date chaude.
Un homme et une femme regardent sur le ciel.,1,L'homme et la femme tiennent les mains.
Un officier de l'armée lise un livre pour enfants à,2,Personne ne lise
Trois courseurs de vélos à moteur en compétition.,0,Trois personnes sont des motos à courroie.
De nombreuses personnes prennent des photos en faisant en sorte qu'une femme,1,De nombreuses personnes prennent une photo avec une femme jaune
Un garçon africain regarde à l'extérieur d'un cloi,2,Le garçon afraien marche librement la rue.
Quelques travailleurs de la paix aident un enfant noir à s'en,1,Les gens de la paix aident l'enfant noir à fouiller un trou
Un groupe de filles emprunte un VTT.,1,Les filles roulent des VTT sans leurs casques.
Une jeune fille en robe rose éliminant des mots sur un panneau,2,Une petite fille assise à son bureau.
"Deux hommes assis sur des chevaux portant un chapeau de cowboy,",2,"Les deux hommes s'envolent autour du corral, tentant de capture"
"Homme plus âgé, à cheveux blancs et à cap rouge, pe",1,Une personne à hauteur d'un plafond
"Trois hommes jouant au cricket portent tous les yeux blancs, et",2,Quatre hommes marchent au magasin du New Jersey.
Deux hommes en robe blanche et en cape rouge empruntent des,2,Les hommes en robes et en capes sont des zombies
Un groupe de personnes joue un jeu au sol d'une salle de séjour tand,1,Un groupe d'amis joue un jeu de table à la fête d'
Quatre personnes assise dans un métro deux lisent des,0,De multiples personnes sont en métro et chacun d'entre
l'occasion de la chanteuse d'un homme noir,0,C'est un chanteur
Deux personnes regardent la télévision à partir d'un ledge blanc.,0,Deux personnes regardent la télévision.
Deux marcheurs à force se promenant l'un l'autre dans,0,Deux personnes dans une course
d’un surfeur en eau est évacué sur la plage,1,Les surfeurs sont des pros.
Une foule de gens en robes colorées.,1,Toutes les personnes figurant dans la photo sont des femmes.
"3 personnes assises dans un bateau, en aval dans un grand corps",0,3 personnes sont assises
Une femme en jupe blanche et en bra en formation danse,0,Un groupe de personnes regarde une femme.
Un jeune garçon indiens assis à réfléchir à son avenir.,1,Un garçon a l'intention de se rendre au collège.
"Femme habillée en rouge et ayant deux fans, un rouge e",0,Une femme en rouge tient un ventilateur rouge et noir
"l'époque, elle a chassé deux agneaux avec",1,Une femme noire a la chasse à deux agneaux gris.
Un petit garçon portant une chemise bleue a un chapeau de fête sur,1,Le petit garçon danse dans la puddle.
Deux enfants commencent à faire un homme de neige ensoleillé en,0,Deux enfants font un homme de neige.
Un jeune garçon dans un champ de fleurs portant une balle,2,chien dans la piscine
Un jeune garçon dépose un sac de Lego sur une table en verre.,0,Un garçon a quelques legos.
Un mâle place une commande dans un deli.,2,Un homme achète de la crème glacée au cinéma.
une voiture de course bleue et grise qui mène sur une piste de,0,Une voiture de course roule sur une piste de terre.
Les enfants sont en train de se divertir.,2,Une voiture est brisée sur le côté de la route.
Le front du café doit rester libre de déchets si l'on veut inciter,1,Les clients regardent la porte du café.
Un homme et une femme sont en vue de s'asseoir,0,Une paire de personnes jouent ensemble des jeux vidéo sur un canapé.
Deux personnes surfent dans l'océan.,2,Ces gens se trouvent dans le désert.
Un homme transporte ses biens sur un porte-roues devant une chute de,1,L'homme est sans abri.
Un enfant grimpe sur une roche.,0,Un enfant s'élève sur une roche.
Quatre filles et une femme apprennent à faire des,1,Les métiers d'art sont mal faits.
Un hydrant à incendie à visage peint sur lui.,1,Le visage est heureux.
L'enfant porte une veste bleue et se repose dans l',2,L'enfant naît dans l'océan profond.
Une vieille femme tient des sacs à achat sur une rue ville occ,0,Une femme en rue occupée tient des sacs à achat
Un homme dans une région urbaine s'enfonce sur les trott,2,L'homme s'enfonce à sa maison.
a homme et femme coutume.,0,Certains gens se mutilent.
Un homme du milieu-est ayant une charrette de mas vendu,2,Un homme du milieu-est jete du mas à des étrangers
Un petit enfant à l'extérieur devant un grand pieux de terre.,0,Un enfant est à l'extérieur.
Trois enfants jouent avec une sphère géante sur un terrain de,1,Un groupe d'enfants joue en les regardant.
Une chanteuse à l'intérieur d'un microphone chantant,2,2pac chante à la maison
Une personne surfe sur une vague étendue.,0,Une personne surfe.
Une femme assise dans une chaise sous un arbre et joue une guitar,0,Une femme joue une guitare acoustique sous un arbre.
Un homme en robe bleue à pied d'un troupeau de,1,Un homme transporte de l'eau avec son troupeau de chameaux.
Une petite fille en tenue de soccer rose en face d'un file,2,La fille jette un frisbee.
Quatre personnes sont en train de créer des lanternes colorées dans leur,2,Les gens fournissent un gâteau.
Trois enfants jouent avec une sphère géante sur un terrain de,2,Un groupe d'enfants fait des tâches à l'intérieur.
Trois belles femmes qui s'assistent à une table et,0,De nombreuses femmes assises dans une pièce.
Une femme s'enfonce à partir d'un tissu bleu reli,2,Une femme marche par la ville.
l'homme portant une harmonique jouant la guitare et,2,Personne ne fait de musique.
Un garçon heureux saute devant la fontaine de la ville OD.,1,Le garçon joue avec ses amis.
Un homme surpoids dans un tête-sucre bleu e,0,Un homme fait un certain travail en dehors d'un parc.
Deux hommes et une femme se trouvent à l'extérieur.,0,Il y a des gens à l'extérieur.
Un couple plus âgé repose sur un banc.,2,Un couple marche dans le parc.
Un homme joue avec un bébé sur un pont.,1,Un homme joue avec son fils.
Deux hommes d’un vêtement blanc identique et d’un,2,Trois hommes en châssis courtes s’encou
Un costume porté par ce petit garçon lui fait sentir un peu insécuritaire.,2,Un garçon s'enfonce dans un étouffement.
Une tente publicitaire Surfer Magazine pour la 25e édition annuelle Longboard Classic,0,Il y a une tente sur une plage.
Un homme ramène un jeune garçon dans des troncs de nage dans,0,Un homme et un garçon sont dans un corps d'eau.
Quatre hommes se trouvent à l'extérieur d'un lit,2,trois hommes près d'un camion
Une femme parle au téléphone en se bouchant à côté d'un chien,0,Une femme est au téléphone.
Un homme en état de laboratoire blanc regarde à travers un microscope.,0,Un homme s’en tient à une portée
"Une bande masculine de quatre pièces, qui comprend deux joueurs de saxo",2,Une bande de filles s'est tenue ce soir au fest de jazz
Deux filles semblent se réveiller sur une pile de feuilles en,1,Deux petits jouent sur une pile de feuilles plus grosses qu'ils ne
Un homme engenoque et une femme à côté de lui.,0,L'homme est proche d'une femme.
Un petit avion rouge s'envole au-dessus de la montagne,0,l'avion vole.
Un rouleau en uniforme bleu s'efforce de s,2,Les rollerskaters sont bien informés.
Un chien s’éleve sur une chaîne.,2,Un chien dorme sous une chaîne.
L'épuisement du visage de la femme en continuant de rou,2,Personne ne se balade en vélo
Une femme asiatique regarde la caméra en en enlevant les as,2,Un homme nettoye les carottes.
"Une femme qui marche, sourit et tient un sac à achat",1,"Certaines femmes font des achats, tandis que les hommes restent"
Jeunes femmes en retraite.,2,Les femmes s'entraînent en marathon.
Une fille se prépare à plonger dans une piscine.,0,Une fille plonge dans une piscine.
Un homme tente de se mettre en forme sur un tapis roulant.,0,Un homme qui fait de l'exercice.
Deux filles en arrière-garde en rasant,2,Les deux filles étaient à la maison regardant la télévision et se
Quatre personnes s'enfoncent à une blessure de la tête,1,Le personnel médical aide une personne blessée.
Un groupe de personnes qui se trouvent dans la rue.,0,Un groupe de personnes dans la rue.
Un homme en chemise noire se trouve sous un point de pression «,1,La présentation se déroule dans un auditorium.
Un homme en tache rayée et une femme en chap,1,Une femme a un chapeau noir léger.
Un couple romantique sous le coucher de soleil.,2,Un couple ayant lutte.
Une femme pousse sa moto en faisant un bébé en avant.,0,Une femme emmene son enfant pour une promenade.
Une femme sur un cheval de course.,1,La femme est au Kentucky Derby.
Une cabine tirée d'un avion très surpeuplé,0,L'avion est assez surpeuplé.
Une femme en bottes brune parle sur son cellulaire et détient,1,Une femme se tient dans la pluie.
Deux petites filles et un petit garçon s'envolent sur,1,Ils jouent un jeu.
Un homme portant des vêtements noirs se tient à une table vide qui,0,Un homme portant des vêtements noirs se tient autour d'une table
Un homme prononce un discours lors d'une fête de costume ornate.,0,Un homme parle au public.
"Un homme, en vert sur son visage, repose avec ses bras franchi",0,L'homme couvrant son visage et prenant une pause.
Une fille portant un maquillage jouant un bass.,2,Une fille joue le violon.
Petit garçon encouragé par une personne en costume d'abeille,0,Le garçon donne un coutume.
Une femme souriante joue le violon devant un fond turquoise.,0,Une femme assise et joue le violon.
Un groupe de travailleurs de la construction marche.,0,l’emploi en marche
Un homme à tête à capuchon s'ét,2,Un homme dans une hoodie est au club de strip.
Un homme en chapeau de Celtics vert et une femme portant,0,Un homme et une femme présentent des tatouages identiques
Deux femmes portant des peignoirs de bain blancs se détendent sur,0,deux femmes assise sur un canapé
Tracteur exécutant des travaux de construction.,2,Un tracteur ne fait rien.
Un joueur de soccer masculin a son pied étendu comme s'il vient de,2,L'homme pond sur le coucher.
deux jeunes enfants sur un patin à roulettes qui traversent un trottoir,1,Deux jeunes enfants se rendent dans le parc.
Un homme à cheveux curieux et une femme dans un tas,0,Deux personnes chantent.
Les enfants sont en train de traverser un lot par un adulte vers un plus grand,0,Un adulte escorte certains enfants.
Un homme sur scène portant une chemise rouge s'enfonce,0,Un homme sur scène portant une chemise s'enfonce à
Un homme ayant une chemise blanche et des jeans bleus pati,2,L'homme a des brefs.
"Éloquemment habillée en noir, un homme et une",2,Deux personnes siègent.
Ils se trouvent en somme.,1,Plusieurs personnes attendent leurs bagages à l'aéroport.
Une femme tirera un petit enfant dans un traîneau par la neige.,0,Une femme tire un enfant.
Un homme en chemise et pantalons en denim fume,2,Un homme en châssis verte joue le piano.
Un athlète de l'équipe de hockey des Jets de Slough,2,Les candidats olympiques s’acquittent de leurs routine
Un homme ayant une chemise bleue et une femme ayant une,0,"Deux personnes portant des chemises, l'un d'entre"
Un homme en jeans et une chemise blanche se tient près,1,"Un homme est au sommet d'une formation rocheuse,"
Une jeune femme assise à une table sur ce qui semble être un pont de,2,La femme change la couche du garçon.
Un homme en chapeau rouge et en veste bleue dans une,0,L'homme tient quelque chose à l'aise.
Un homme en chapeau de Celtics vert et une femme portant,-1,Un amas et une amie présentent des tatouages
Deux randonneurs marchent sur une voie adjacente à un vieux mur.,2,Deux hommes assis à la table
"Un homme porte un chapeau dur et une veste orange, en face",1,Un homme se prépare à monter sur une échelle.
Un joueur de badminton de Chine est élargi sur le court de,1,Un joueur de badminton prend un nass.
Un joueur de baseball glisse dans une base tandis que l'homme de,1,Un joueur de baseball se glisse dans la maison.
Deux personnes marchent en aval de la rue et tiennent les main,1,Un couple cherche une maison.
Une chercheuse de l'émotion utilise ses bras pour assurer,-1,Une femme traverse ses bras en empruntant un faisceau.
et un couple marche en aval du trottoir avec son chien,1,Un couple marche son chien jusqu'au marché.
Une femme dans un terrain de camping.,0,Une femme à l'extérieur.
Belle voiture rouge parmi de nombreux à une foire de voitures animées,0,Les passionnés de voitures en jugent.
Plusieurs enfants africains posent pour la caméra.,2,Trois adultes photographent à Londres dans un pub.
Un petit garçon à chemise orange joue à l'extérieur avec des bull,2,Le garçon a été accueilli en baignoire après avoir joué
Il y a un groupe de trois femmes et un homme chantant,1,Les chanteurs de grandes voix
Un jeune homme en chemise noire et une femme âgée,1,L'homme porte des courtes.
Un groupe de personnes s'envole en train.,2,Les gens sont en autobus.
Un homme et trois enfants montent sur une colline pavée.,1,Un homme s'enfonce à s'installer à la
Un homme portant un uniforme de la Marine américaine et une femme,1,Un militaire regarde quelque chose enthousiaste
un groupe de quatre personnes conversant à côté d'un autobus,2,Une femme monte une moto et démarre le moteur.
Un homme s'envole dans le désert à mesure que les,2,Un homme combat les mummy morts qui sont venus magiquement vivre dans le
Un jeune garçon portant des courtes bleues est à plonger,0,Le jeune garçon est humide.
Il y a un groupe de trois femmes et un homme chantant,2,Personne ne chante.
Un homme en état de laboratoire blanc regarde à travers un microscope.,0,Un homme examine des éléments à travers une portée
Une fille noire assise sur la mouche d'un balcon,0,Un groupe de professionnels parle avec une fille sur un balcon.
Un élevage de l'arrière est relié à une porte,2,Le chien est sur la lune.
"Deux enfants asiatiques, un garçon et une fille, la fille regard",0,Il y a des enfants près de la caméra
Une femme à cheveux courts souriant et chantant dans un microphone,0,Deux personnes exécutent.
Un enfant en courte distance jete un boule de neige sur une montagne.,0,L'enfant joue à l'extérieur
Vue d'une balle de soccer en balle en balle,2,Une balle de soccer s'enflamme dans une boue sur la rue
Un chien noir et blanc saute sur une barre rouge et blanche.,2,Le chien dorme.
Une danseuse de ventre en bleu et orange exécute une dans,0,Une femme a des vêtements et deux hommes tiennent des instruments musicaux.
Les gens tirent un gros tracteur vert.,0,Il y a des gens qui tirent un tracteur.
Un homme éleve des vaches cornées sur un cheval.,1,Une personne élevait ses bovins sur son ranch.
Les petits garçons en chandails sportifs jouent avec une ball,1,Une équipe de football à l'aise à la pratique
Établir avant le rouleau de rouleau.,1,Certains gens s'étirent avant un concours.
un chien blanc remorque sur une corde noire,2,Le chien noir tire la corde noire parce que le chien a laminé
Un petit garçon dans une chemise bleue contenant un jouet.,2,Le garçon habillé en rouge en éclairant les choses au feu.
Une femme âgée en foule poussant un fauteuil roulant.,1,Une femme de 67 ans est en foule.
La femme tient la ligne avec le poisson qu'elle a capturé dans le,2,La femme chasse à la wapiti.
Un petit garçon s'alimente à un Popsicle rouge.,0,Un petit garçon s'alimente
Une voiture de course rouge et blanche arrond la courbe sur une piste,-1,Deux voitures en cours de course.
De nombreuses personnes ont peint des visages la nuit.,0,Il y a au moins deux personnes.
Un homme en chemise bleue et en chapeau rouge regard,2,Un homme nu assis avec ses yeux fermés.
Une personne en orange monte une face à la falaise recouverte,0,Il escalade la falaise
Un homme ayant l'étiquette «Chris» qui porte une,2,Le nom s'affiche à Bill
Une femme se tient en montée en holant un feu qui est all,-1,Elle éclaire une pièce sombre.
Un flottant illustrant des images religieuses.,2,Un flotteur illustrant un ordinateur.
Une personne en châssis bleu de plaide s'affiche sur,0,La personne écrite sur le carton de craie.
L'agent de police qui évolue sur un cheval parle à un,1,L'agent de police qui équite un cheval donne un billet à un
"Deux hommes, l'un ayant une chemise noire et",0,Deux hommes se battent l'un contre l'autre
Un groupe joue sur scène à un concert et les accompagnateurs dansent à,1,C'est une promenade.
Plusieurs personnes ayant des parachutes donnent sur une belle vue sur les champs,2,Plusieurs personnes s’enfoncent dans l’herbe.
Un homme de couleur foncée reçoit des félicitations,1,Un homme vient de se marier ou d'être engagé et une femme
De nombreuses personnes écoutent un concert et l'équipage de,0,Les gens écoutent un concert.
Un homme s'envole dans le désert à mesure que les,1,Un homme et un chameau en désert.
Deux garçons naissent sous-marins dans une piscine et une fill,0,Il y a quelques enfants dans cette image
Un homme portant un chapeau du Père tient une photo à la class,2,Le Père Nol a dit aux enfants qu'il n'est
Les animaux de compagnie jouent dans l'appartement.,0,Les animaux jouent.
"l'intérieur de l'igloo, le jeune homme se",1,Le jeune homme se repose.
Un groupe de personnes regarde une bande jouant de la musique tandis,0,Un groupe de personnes regarde une bande jouant de la musique.
Un homme portant des chaussures jaunes et une veste noire est,2,Un chien nage vers un bâton.
Deux personnes s'envolent à vélo à travers une maison et,1,Deux personnes mènent une course à vélo.
Un groupe d'hommes est assis autour d'une table,1,Les hommes ayant une conversation
Les enfants jouent sur un terrain de jeu.,0,Les enfants jouent à l'extérieur.
Un chien noir et une oie naissent dans l',0,Deux animaux sont en eau.
Deux médecins exécutent une chirurgie sur le patient.,0,Les médecins effectuent des chirurgies.
"Un homme et une femme à un repas, avec un chien entre eux",2,Un homme et une femme ont deux chats entre eux.
Un bébé se trouve dans un lit d'enfant et crie.,2,Un chiot consomme des aliments.
Une femme s'enrôle dans un canot rempli de choses.,2,La femme dépacke des articles de son bateau.
Un groupe de personnes assises dans une zone grasse sous un arbre en fleur,0,Il y a un groupe de personnes à l'extérieur.
Un groupe de personnes qui regardent les menus dans un restaurant blanc.,1,Les gens célèbrent un anniversaire.
Un chien brun et un chien noir au bord de l'océan avec une vague,1,Les chiens sont en train de prendre des poissons.
Une bande joue sur une scène tandis qu'une femme chante.,1,Le chanteur principal du groupe s'en tient à l'exécution
Un policier en train.,1,Un cope se tient sur un train en route vers le travail.
Une femme ayant un sac pourpre assis sur le métro avec s,2,Une femme ayant un sac bleu assise.
"Un homme en uniforme noir, blanc et rouge tient des mât",1,Un homme se prépare à son événement olympique.
Deux joueurs de basket-ball en noir et blanc se trouvent sur un,0,Les deux joueurs de basket-ball sont en train de converser.
Quatre jeunes hommes s'assujettent au sol à proximité,0,Quatre hommes s'assistent à l'intérieur.
Une petite fille en regardant une grosse roche,0,Une fille voit une formation de roche.
Un groupe de personnes portant des chemises bleues et des pantalon,2,Un groupe de personnes se trouvent parfaitement en attente.
Plusieurs personnes portant des couronnes en feuilles se rassemblaient autour d,1,Un groupe de gens mangent de la soupe de boue.
Un homme blond se trouve à côté d'un mélangeur de,2,Un travailleur de la construction prend un nappe sur un canapé.
un homme de l'est en robe blanche assis sur un banc,2,une femme se promène à pied
Un couple s'enfonce à la tête en lisant un,0,Un wagon de stationnement à l'arrière-plan est en noir léger
Une femme équite un cheval sur une piste.,2,Une femme joue du tennis.
"Une salle de classe à hommes, avec l'enseignant en avant.",1,Un groupe d'hommes apprennent l'anglais
Un homme s'assure d'une veste de sauvetage,2,Hitler emprunte un jetski dans cette publicité Kawasaki.
Un homme et une femme boivent dans un bar.,1,Un couple est en date
"Une jeune femme transportant des cas de bois, marchant en amont de la",1,Une personne à forte portée de l'épaule
Deux personnes se bâtissent sur une rue aveugle et,0,Deux personnes se baignent les uns les autres.
un chien transporte un gros bâton dans le champ.,2,Le chien est à l'intérieur
Trois filles en vêtements de rue et en sneakers jouent,0,Les filles exécutent une activité de représentation sur une scène.
Un chien de couleur claire éclaire éclaire s'é,1,Le chien naît à son propriétaire.
Une femme portant une chemise blanche et un jeans franchit un pont de,1,Une femme portant une chemise blanche et un jeans franchit un pont de
Un groupe de personnes prépare des ballons d'air chaud pour décollage,0,Un groupe de personnes s'y trouvent.
Une femme vêtue d'une chemise bleue à long,2,La femme est nue et seule dans la salle de bain.
Trois femmes en robes festives dansent dans une grande rue ville,0,Trois femmes dansent devant une foule importante
Un groupe de Chinois se repose dans l'eau.,1,Un groupe de Chinois à l'eau.
Une jeune femme à l'intérieur de vêtements colorés.,0,Ses vêtements sont lumineux.
Un joueur de badminton asiatique aux Jeux olympiques est,1,"Après avoir tué et tombé sur une petite roche, le"
Deux personnes dans un escadron dans une rivière.,0,Deux personnes sont dans un petit bateau en eau.
Un chat blanc s'assiste sur un mur.,2,Le chat est sur son lit.
"Deux chevaux, un noir et un brun, tirent un homme",2,Un homme est chassé par deux chevaux.
Le couple porte des lunettes destinées aux films 3D.,1,Un couple va regarder un film 3D.
Une foule importante s'est rassemblée devant McDonald's.,0,Un groupe de personnes se réunissait devant un restaurant de restauration rapide.
"Un joueur de tennis, portant une chemise jaune, saute pour frapper",2,Le couple s'enfonce à manger ensemble.
Le joueur de baseball portant l'uniforme « irlandais »,0,Les joueurs de baseball jouent un jeu.
Quatre personnes portant des vêtements de rue travaillent sur le cuir chevelu,1,Elle espère remédier à son pâturage.
Quatre personnes dans une cuisine,1,Quatre personnes dans une cuisine à la cuisson d'un repas dans un
Une foule de gens en attente regarde une représentation musicale sur une scène,0,Certaines musiques sont exécutées sur scène.
Un homme et une femme en marche côte à côte sur une rue,2,Un homme fâcheux s'asseoir seul sur sa couche
Un homme est sans chemise alors que les deux autres travaillent à la construction,1,Trois hommes sont à l'extérieur.
"Jeunes garçons jouant le basket-ball intérieur, une équipe a",0,Plusieurs garçons jouent le basket-ball à l'intérieur.
L'homme marche à pieds nus sur la plage à ce qui semble être,0,Il y a des nuages dans le ciel.
Un homme ayant un costume noir et une femme en robe blanche,1,Un homme se marie à sa troisième femme en dix ans
Une femme ayant un sac à cur s'approche pour s,0,Une femme interagit avec un interprète.
deux femmes qui marchent dans une zone de dénuement.,1,Deux travailleurs de la FEMA se promènent dans la rue du quartier de la ban
Une fille asiatique s'en tient à un papier en,0,Une fille asiatique est assise.
"Un jeune homme en chapeau rouge, en chemise grise e",0,Le jeune homme porte un chapeau.
Un joueur de basket-ball qui fait une dunk à la slam,1,un joueur de basket-ball s'est enlevé le balle pour gagner
Groupe d'évacuation des fuites tandis que les spectateur,1,Un groupe s'assainit après une fuites importante.
Une femme tient une petite fille à côté d'une grosse sculpture en,0,Une femme tient un enfant.
Une fille qui saute sur un trottoir près d'un garage,1,La fille saute à corde simplement pour l'exercice.
Un homme d'âge moyen rassure sa barbe dans,2,d’un homme dormit
"Un conducteur de musique dirige son orchestre dans une grande salle, où un",2,Deux chiens font des trucs de skateboard dans le parc.
Un garçon en traîneau s'enfonce sur la pente,0,Un garçon s'enroule
Une bande joue sur une scène tandis qu'une femme chante.,2,Une femme a tiré une arme.
une fille en robe de chèvre assise à une table,2,Un garçon en robe de chèvre assis à une table.
Deux filles jouent avec l'orgami.,1,Les filles fabriquent des grues à papier
"3 personnes, un homme jouant une guitare en assise sur",1,Plusieurs personnes sont réunies pour une fête.
Une foule observant un match de soccer.,2,Un petit groupe de personnes se rendent dans leurs voitures.
Un homme est sur le côté d'une montagne et il y,1,L'homme marche sur le côté de la montagne pour sauver son ami qui s
Une fille joue le clavier avec son groupe.,1,Une jeune fille est à un concert de bande.
Un groupe d'enfants assis autour d'une table t,0,Les enfants assient à une table.
Un chien noir s'envole avec une balle déflatée et,2,Un chat mange du thon.
Trois jeunes garçons tiennent une caméra et un autre porte un jouet,1,Le garçon s'enfonce pour prendre une image.
Un bébé se trouve dans un lit d'enfant et crie.,1,Un bébé pleure pour sa mère.
Un homme sans chemise cuisine sur un grill extérieur.,0,Quelqu'un agit.
Une femme marche avec un garçon qui porte un drapeau.,0,Une femme est à côté d'un enfant qui a un drapeau.
